prompt,response,quality_rating,criteria,human_rater
"Explain Kubernetes Deployments, Services, and Ingress","Health checks enable zero-downtime updates:
readinessProbe: HTTP GET /health → only route traffic when ready
Deployment won't proceed if new Pods fail readiness.

kubectl commands:
kubectl get pods
kubectl describe pod <name>
kubectl logs <pod> -f
kubectl exec -it <pod> -- sh
kubectl rollout undo deployment/myapp",9,Are these three core Kubernetes resources explained correctly?,bob
Explain the difference between React useState and useReducer,"Functional setState update (avoids stale closure):
// Bug: stale count in closure
setTimeout(() => setCount(count + 1), 1000);

// Correct: function form always has latest state
setTimeout(() => setCount(c => c + 1), 1000);

useReducer actions always receive latest state — no stale closure issue.",10,Is the distinction between the hooks explained correctly?,david
What is dependency injection and why is it useful?,Dependency injection makes code slower because of the extra function calls.,1,Is dependency injection explained correctly with practical benefits?,david
What is horizontal scaling vs vertical scaling?,"Vertical (scale up): more powerful machine — bigger CPU, more RAM, faster storage.
+ No architecture changes
+ Low latency (no network between components)
- Hardware ceiling, single point of failure
- Diminishing returns (price grows faster than performance)

Horizontal (scale out): more machines, distribute load.
+ Virtually unlimited scale
+ Fault tolerant (one node fails, others continue)
+ Linear cost scaling
- Requires stateless design, load balancer, distributed state",10,Is the distinction accurate with tradeoffs explained?,carol
What are Python decorators and how do you write one?,"A decorator wraps a function to add behavior without modifying it.

import functools

def log_calls(func):
    @functools.wraps(func)  # preserves func.__name__ etc.
    def wrapper(*args, **kwargs):
        print(f'Calling {func.__name__}')
        result = func(*args, **kwargs)
        print(f'{func.__name__} returned {result}')
        return result
    return wrapper

@log_calls
def add(a, b):
    return a + b

add(2, 3)  # prints log, returns 5",8,Is the decorator concept explained correctly with a working example?,bob
What is connection pooling and why does it matter for database performance?,Always set pool_size to 1000 for best performance.,2,Is connection pooling explained correctly with practical guidance?,carol
What is a database view and when should you use one?,Always use views instead of tables for better security.,2,Is the view concept explained correctly?,alice
What is the React useEffect hook and how do you use it correctly?,"Common pitfalls:
1. Missing dependency → stale closure
2. Object/array in deps → infinite re-render (new ref each render)
3. Fetching without abort controller → state update after unmount

Abort controller:
useEffect(() => {
  const controller = new AbortController();
  fetch(url, {signal: controller.signal}).then(setData);
  return () => controller.abort();
}, [url]);",8,Is useEffect explained correctly with cleanup and dependency array?,eve
Explain the difference between a Docker image and a container,An image is the blueprint and a container is the running version of that blueprint.,4,Is the image vs container distinction clearly and accurately explained?,david
How do you implement pagination in a REST API?,"Offset pagination (simple, most common):
GET /posts?page=2&limit=20

SQL: SELECT * FROM posts ORDER BY id LIMIT 20 OFFSET 20

Response:
{ 'data': [...], 'total': 500, 'page': 2, 'limit': 20, 'pages': 25 }

Pros: easy to implement, random page access
Cons: slow for large offsets (OFFSET 10000 scans 10000 rows), unstable (items shift if data changes)",8,Is pagination explained correctly with practical tradeoffs?,bob
Explain CI/CD and the difference between continuous integration and continuous deployment,"Deployment strategies:
Rolling: replace old instances gradually
Blue-green: two identical envs, switch traffic instantly
Canary: route 5% of traffic to new version, monitor, then roll out
Feature flags: deploy code but toggle features independently

Blue-green enables instant rollback: switch traffic back to blue.",8,Is CI/CD explained accurately?,alice
Explain the difference between a Docker image and a container,"Volumes vs container filesystem:
- Container writable layer: ephemeral (lost when container removed)
- Named volume: persisted, managed by Docker
- Bind mount: maps host directory into container

docker run -v pg_data:/var/lib/postgresql/data postgres",9,Is the image vs container distinction clearly and accurately explained?,alice
What is Python's GIL and how does it affect multithreading?,"GIL (Global Interpreter Lock): a mutex in CPython that allows only one thread to execute Python bytecode at a time.

Implication: Python threads cannot run in parallel on multiple CPU cores.
CPU-bound work: threading provides NO speedup (GIL blocks parallel execution).
I/O-bound work: threading DOES help — GIL is released during I/O operations.",10,Is the GIL explained correctly with practical implications?,bob
How does Python's memory management and garbage collection work?,Python automatically manages memory. You don't need to free objects manually.,4,Is Python's memory management explained correctly?,carol
Explain OAuth 2.0 and how it enables third-party authorization,"Security: never put access tokens in URLs (appear in logs).
Use Authorization: Bearer <token> header.
Store refresh tokens server-side or in httpOnly cookies.
Validate state parameter to prevent CSRF.",9,Is the OAuth 2.0 flow explained correctly?,carol
How do you write parameterized tests in pytest?,Write a separate test function for each test case instead of parametrize.,1,Is pytest parameterization explained correctly?,bob
What is test-driven development and what are its benefits?,"TDD + CI = safety net:
- TDD gives you tests
- CI runs them on every commit
- PRs block on test failure

BDD (Behavior-Driven Development) extends TDD:
Given: initial context
When: action occurs
Then: expected outcome
Tools: pytest-bdd, Cucumber",9,Is TDD explained correctly with honest benefits and tradeoffs?,eve
What is the difference between interface and type in TypeScript?,"In practice the difference is minimal for most object types.
Team convention matters more than the technical difference.

Rule many teams follow:
- interface for objects/classes
- type for everything else (unions, primitives, functions, utility types)

function process(handler: (x: number) => void): void  // type alias for function",9,Is the distinction between interface and type accurate?,eve
Explain what precision and recall are and when to optimize for each,"Example — disease screening test:
1000 patients, 10 actually sick
Model predicts 50 sick: 9 correct, 41 false alarms

Precision = 9/50 = 0.18 (many false alarms)
Recall    = 9/10 = 0.90 (caught 90% of sick patients)

For cancer screening: high recall is critical (prefer false alarms over missed cases).",8,Is the precision/recall tradeoff explained correctly?,bob
